n,tau,k_rate,gain_rate_grid,tau_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
0,0.01,25.0,25.0,0.01,1.0763543027489422,0.17863441834572824,6.133787508246543,0.3168336095271394,0.33600126560258387,0.5680147680533586,29,29
1,0.02,1250.0,25.0,0.02,1.1807880139748674,0.189394767569535,6.23688522833806,0.33389725036579265,0.3445941735656929,0.5680147680533586,29,29
2,0.03,833.3333333333334,25.0,0.03,1.2849787392622931,0.20186652241651915,6.5263023034535435,0.35473789370508,0.3509280350737434,0.5680147680533586,29,29
3,0.04,625.0,25.0,0.04,1.345041208251497,0.21227816390118165,6.715290639760792,0.36660688614225995,0.3493199735769092,0.5680147680533586,29,29
4,0.05,500.0,25.0,0.05,1.4397801719042982,0.2261226129282187,7.060091948238927,0.3863353576410249,0.3492252112369294,0.5680147680533586,29,29
5,0.06,416.6666666666667,25.0,0.06,1.5318444054158313,0.23741104633505547,7.276560120998908,0.40173061702920293,0.3477169320140575,0.5680147680533586,29,29
6,0.07,357.1428571428571,25.0,0.07,1.5987522564462464,0.24746924867372497,7.513476126331713,0.4146099197371303,0.3444606336663543,0.5680147680533586,29,29
7,0.01,31.498,31.498,0.01,0.8145763766180893,0.13106647971062765,4.3842082205912885,0.24755836907172768,0.3472968260745693,0.5680147680533585,29,29
8,0.02,1574.9,31.498,0.02,0.93271095238284,0.14452817774738272,4.604489377006122,0.265844742770377,0.35583279035451315,0.5680147680533586,29,29
9,0.03,1049.9333333333334,31.498,0.03,1.0310158549743103,0.1574441256479264,4.9392718400591855,0.28629631985261633,0.36485199137887453,0.5680147680533586,29,29
10,0.04,787.45,31.498,0.04,1.0988385850479707,0.1684850611897845,5.156691845085108,0.30254527011881377,0.36254376699633484,0.5680147680533586,29,29
11,0.05,629.96,31.498,0.05,1.1614317952118096,0.17979670631696906,5.343536574451784,0.3131079294576468,0.3593293016794822,0.5680147680533586,29,29
12,0.06,524.9666666666667,31.498,0.06,1.2446966031884212,0.19203040379341935,5.603759705922142,0.33115736613261787,0.36055955321261984,0.5680147680533586,29,29
13,0.07,449.97142857142853,31.498,0.07,1.299479536674436,0.20359640168243115,5.922327583739807,0.3438243276264513,0.3577362025062469,0.5680147680533586,29,29
14,0.01,39.685,39.685,0.01,0.7073776621527348,0.09423141358515648,3.1892921892530404,0.20374203837402594,0.35799369927684066,0.568014768053358,29,29
15,0.02,1984.25,39.685,0.02,0.7996929532848265,0.10586517563755626,3.304659546625932,0.22237519420829766,0.3688890802878983,0.568014768053358,29,29
16,0.03,1322.8333333333335,39.685,0.03,0.8887095293776937,0.11865574611327483,3.584978209597422,0.241463049543454,0.37701224827997015,0.5680147680533585,29,29
17,0.04,992.125,39.685,0.04,0.9121736396724072,0.1287765159634555,3.9016673796584733,0.2533244268651251,0.37679474516680245,0.5680147680533585,29,29
18,0.05,793.7,39.685,0.05,0.9626836050172457,0.13971837460588327,4.054788207951329,0.26591619453491727,0.3769283220012541,0.5680147680533585,29,29
19,0.06,661.4166666666667,39.685,0.06,1.0476953879826152,0.15412543359605546,4.332983180302686,0.28263401520819603,0.37757202948487284,0.5680147680533586,29,29
20,0.07,566.9285714285714,39.685,0.07,1.1077635350148722,0.16682451542235452,4.693559400199954,0.2978996564417697,0.37681520411217356,0.5680147680533585,29,29
21,0.01,50.0,50.0,0.01,0.7483502163031169,0.06873584872578739,2.269732049551347,0.18747243670018152,0.37050212041500513,0.568014768053358,29,29
22,0.02,2500.0,50.0,0.02,0.8413364738383058,0.07888014390824756,2.4676860415839537,0.20869217844327637,0.3849752698219852,0.568014768053358,29,29
23,0.03,1666.6666666666667,50.0,0.03,0.9307366760834768,0.08998826075872353,2.591244786547427,0.22802940858594223,0.39800776523728554,0.568014768053358,29,29
24,0.04,1250.0,50.0,0.04,0.9394190201170433,0.0966799474385797,2.7501059775018155,0.23587395511101394,0.39764248523600787,0.568014768053358,29,29
25,0.05,1000.0,50.0,0.05,0.9364917194419865,0.10631200207851822,3.0221517889199894,0.24240221989860067,0.3956115554467372,0.5680147680533585,29,29
26,0.06,833.3333333333334,50.0,0.06,0.965801566269027,0.1170619180464734,3.2503838053911056,0.2522415576476098,0.39576419229330617,0.5680147680533585,29,29
27,0.07,714.2857142857142,50.0,0.07,1.0099776133577727,0.12687202844528073,3.472443757302862,0.26254376932930357,0.3940333286908858,0.5680147680533586,29,29
28,0.01,62.996,62.996,0.01,0.9019919635805597,0.07121886869562996,2.507149865307521,0.20831337873999747,0.3820201491939776,0.568014768053358,29,29
29,0.02,3149.8,62.996,0.02,0.9920290243541178,0.07524541116095797,2.675152775157257,0.2297776906544307,0.40009523997610097,0.568014768053358,29,29
30,0.03,2099.866666666667,62.996,0.03,1.0807949563317887,0.08140388933435702,2.69943414481167,0.2482560896806879,0.41596299108252954,0.568014768053358,29,29
31,0.04,1574.9,62.996,0.04,1.0612010225977586,0.08023861466406869,2.725431420722433,0.2505001925914099,0.4153727977509691,0.568014768053358,29,29
32,0.05,1259.92,62.996,0.05,1.058853602112074,0.0842159473042064,2.6806941741048655,0.25218855760413367,0.41719545403697816,0.5680147680533585,29,29
33,0.06,1049.9333333333334,62.996,0.06,1.0707967618543766,0.0893397042611121,2.772667256465856,0.25689282994772467,0.4159478756741602,0.5680147680533585,29,29
34,0.07,899.9428571428571,62.996,0.07,1.084186385957728,0.0984670170578915,2.857859541791481,0.26006725046524304,0.4143892503989098,0.5680147680533585,29,29
35,0.01,79.37,79.37,0.01,1.1040627597571966,0.09058925568616587,3.4600274948678797,0.25154621607991334,0.39559608735353524,0.568014768053358,29,29
36,0.02,3968.5,79.37,0.02,1.2100527429195036,0.08922966998699518,3.5130512930785964,0.276600752230911,0.4183618867298667,0.568014768053358,29,29
37,0.03,2645.666666666667,79.37,0.03,1.3076661820509936,0.09054865674315765,3.5272338107263903,0.29679602582039194,0.4378637778350547,0.568014768053358,29,29
38,0.04,1984.25,79.37,0.04,1.3031015571542781,0.08523647577534445,3.488374163490498,0.300003404109561,0.44051007204116127,0.568014768053358,29,29
39,0.05,1587.4,79.37,0.05,1.2887996571727938,0.08335098363370602,3.3360747382074125,0.29568653432811554,0.43989069957696053,0.568014768053358,29,29
40,0.06,1322.8333333333335,79.37,0.06,1.2790232625854092,0.08338569272722265,3.2670793193352328,0.29398523500351026,0.4394885750821487,0.5680147680533585,29,29
41,0.07,1133.857142857143,79.37,0.07,1.2641022286194301,0.08624929626000716,3.2013943723095677,0.2931037494291924,0.43979213286298163,0.5680147680533585,29,29
42,0.01,100.0,100.0,0.01,1.3325445700579133,0.11657756040274149,4.50808843631661,0.3041279243898555,0.4119632795891954,0.568014768053358,29,29
43,0.02,5000.0,100.0,0.02,1.4865526733675503,0.11448521199645202,4.631456214119985,0.33850192550827646,0.44254197179803495,0.568014768053358,29,29
44,0.03,3333.3333333333335,100.0,0.03,1.5910293126297448,0.11247828721602611,4.668436180374085,0.3601780101882841,0.4640441461399203,0.568014768053358,29,29
45,0.04,2500.0,100.0,0.04,1.6000181690611404,0.10455799498842962,4.557177549115674,0.3642740798192258,0.4680482467171164,0.568014768053358,29,29
46,0.05,2000.0,100.0,0.05,1.5765874215226126,0.09648987329728885,4.353890849658685,0.35748263122217644,0.46632544153131245,0.568014768053358,29,29
47,0.06,1666.6666666666667,100.0,0.06,1.5613576175790873,0.09365629269983974,4.232116598409791,0.3553415479495594,0.46805551123116457,0.568014768053358,29,29
48,0.07,1428.5714285714284,100.0,0.07,1.5514561631963366,0.09234003476424277,4.093706373386392,0.3487754774628121,0.46454470465279146,0.568014768053358,29,29
